dep,prefecture,lat,lon
1,Bourg-en-Bresse,46.2058,5.2255
2,Laon,49.5642,3.6217
3,Moulins,46.5654,3.3323
4,Digne-les-Bains,44.0917,6.2356
5,Gap,44.5594,6.0801
6,Nice,43.7102,7.2620
7,Privas,44.7352,4.5985
8,Charleville-Mezieres,49.7739,4.7202
9,Foix,42.9647,1.6050
10,Troyes,48.2973,4.0744
11,Carcassonne,43.2130,2.3491
12,Rodez,44.3496,2.5754
13,Marseille,43.2965,5.3698
14,Caen,49.1829,-0.3707
15,Aurillac,44.9298,2.4444
16,Angouleme,45.6484,0.1560
17,La Rochelle,46.1603,-1.1511
18,Bourges,47.0810,2.3987
19,Tulle,45.2669,1.7717
2A,Ajaccio,41.9192,8.7386
2B,Bastia,42.7028,9.4506
21,Dijon,47.3220,5.0415
22,Saint-Brieuc,48.5142,-2.7653
23,Gueret,46.1667,1.8667
24,Perigueux,45.1848,0.7218
25,Besancon,47.2378,6.0241
26,Valence,44.9334,4.8924
27,Evreux,49.0270,1.1510
28,Chartres,48.4439,1.4894
29,Quimper,47.9960,-4.1024
30,Nimes,43.8367,4.3601
31,Toulouse,43.6047,1.4442
32,Auch,43.6455,0.5854
33,Bordeaux,44.8378,-0.5792
34,Montpellier,43.6108,3.8767
35,Rennes,48.1173,-1.6778
36,Chateauroux,46.8106,1.6911
37,Tours,47.3941,0.6848
38,Grenoble,45.1885,5.7245
39,Lons-le-Saunier,46.6743,5.5551
40,Mont-de-Marsan,43.8903,-0.4990
41,Blois,47.5861,1.3359
42,Saint-Etienne,45.4397,4.3872
43,Le Puy-en-Velay,45.0430,3.8850
44,Nantes,47.2184,-1.5536
45,Orleans,47.9029,1.9093
46,Cahors,44.4478,1.4406
47,Agen,44.2049,0.6222
49,Angers,47.4784,-0.5632
50,Saint-Lo,49.1147,-1.0900
51,Chalons-en-Champagne,48.9563,4.3630
52,Chaumont,48.1113,5.1394
53,Laval,48.0698,-0.7700
54,Nancy,48.6921,6.1844
55,Bar-le-Duc,48.7706,5.1614
56,Vannes,47.6582,-2.7603
57,Metz,49.1193,6.1757
58,Nevers,46.9896,3.1616
59,Lille,50.6292,3.0573
60,Beauvais,49.4295,2.0807
61,Alencon,48.4322,0.0910
62,Arras,50.2910,2.7778
63,Clermont-Ferrand,45.7772,3.0870
64,Pau,43.2951,-0.3708
65,Tarbes,43.2327,0.0781
66,Perpignan,42.6886,2.8948
67,Strasbourg,48.5734,7.7521
68,Colmar,48.0794,7.3585
69,Lyon,45.7640,4.8357
70,Vesoul,47.6234,6.1560
71,Macon,46.3069,4.8280
72,Le Mans,48.0061,0.1996
73,Chambery,45.5646,5.9178
74,Annecy,45.8992,6.1294
75,Paris,48.8566,2.3522
76,Rouen,49.4431,1.0993
77,Melun,48.5388,2.6597
78,Versailles,48.8014,2.1301
79,Niort,46.3239,-0.4587
80,Amiens,49.8941,2.2958
81,Albi,43.9298,2.1480
82,Montauban,44.0181,1.3541
83,Toulon,43.1242,5.9280
84,Avignon,43.9493,4.8055
85,La Roche-sur-Yon,46.6705,-1.4266
86,Poitiers,46.5802,0.3404
87,Limoges,45.8336,1.2611
88,Epinal,48.1740,6.4497
89,Auxerre,47.7982,3.5731
90,Belfort,47.6379,6.8629
91,Evry-Courcouronnes,48.6293,2.4406
92,Nanterre,48.8924,2.2160
93,Bobigny,48.9091,2.4394
94,Creteil,48.7904,2.4556
95,Cergy,49.0379,2.0761
