date,dep,libelle_dep,nb_passages
25-12-2017,61,Orne,397.1
29-01-2018,61,Orne,429.6
18-02-2018,61,Orne,378.7
13-03-2018,61,Orne,385.8
10-04-2018,61,Orne,352.6
19-04-2018,61,Orne,383
02-05-2018,61,Orne,404.8
15-05-2018,61,Orne,376
20-06-2018,61,Orne,408.6
20-07-2018,61,Orne,409.6
30-07-2018,61,Orne,414.4
11-09-2018,61,Orne,378.5
23-09-2018,61,Orne,308.8
10-12-2018,61,Orne,433.1
21-01-2019,61,Orne,471.1
08-02-2019,61,Orne,471
14-02-2019,61,Orne,373.8
16-02-2019,61,Orne,420.5
18-02-2019,61,Orne,440.2
24-02-2019,61,Orne,362.3
05-03-2019,61,Orne,438
09-03-2019,61,Orne,388.5
14-03-2019,61,Orne,370.6
18-03-2019,61,Orne,437.1
21-03-2019,61,Orne,470.4
31-03-2019,61,Orne,378.7
10-04-2019,61,Orne,365.4
15-04-2019,61,Orne,433.5
26-04-2019,61,Orne,396
27-04-2019,61,Orne,376.3
08-06-2019,61,Orne,346.2
13-06-2019,61,Orne,399.1
18-06-2019,61,Orne,418.7
30-06-2019,61,Orne,469.9
14-07-2019,61,Orne,395.5
25-07-2019,61,Orne,349.9
04-08-2019,61,Orne,311.9
08-08-2019,61,Orne,369
29-08-2019,61,Orne,359.1
31-08-2019,61,Orne,357.5
09-09-2019,61,Orne,444
21-09-2019,61,Orne,399.8
25-09-2019,61,Orne,389
09-10-2019,61,Orne,376.1
13-10-2019,61,Orne,419.1
29-10-2019,61,Orne,374.5
01-11-2019,61,Orne,415.9
03-11-2019,61,Orne,301.4
13-11-2019,61,Orne,423.6
14-11-2019,61,Orne,417.6
20-11-2019,61,Orne,406.6
21-11-2019,61,Orne,368.1
24-11-2019,61,Orne,361.9
25-11-2019,61,Orne,457.8
30-11-2019,61,Orne,423.2
10-12-2019,61,Orne,388.2
08-01-2020,61,Orne,399.4
09-01-2020,61,Orne,392
17-01-2020,61,Orne,441.9
26-01-2020,61,Orne,397.2
14-02-2020,61,Orne,395
01-03-2020,61,Orne,337.3
06-03-2020,61,Orne,473.1
15-03-2020,61,Orne,284.6
31-03-2020,61,Orne,193.7
22-04-2020,61,Orne,225.3
28-04-2020,61,Orne,222.1
04-05-2020,61,Orne,243
06-05-2020,61,Orne,238.7
22-05-2020,61,Orne,349
24-05-2020,61,Orne,256
01-06-2020,61,Orne,346.8
03-06-2020,61,Orne,289.1
28-06-2020,61,Orne,294.7
30-06-2020,61,Orne,358.8
20-07-2020,61,Orne,443.7
28-07-2020,61,Orne,401.4
04-08-2020,61,Orne,348.3
09-08-2020,61,Orne,255.1
20-08-2020,61,Orne,395.9
27-08-2020,61,Orne,416.2
28-08-2020,61,Orne,396.8
05-09-2020,61,Orne,338.4
16-09-2020,61,Orne,486.9
28-09-2020,61,Orne,507
30-09-2020,61,Orne,446.3
16-10-2020,61,Orne,298.5
15-11-2020,61,Orne,207.2
18-11-2020,61,Orne,237.4
24-11-2020,61,Orne,293.6
15-12-2020,61,Orne,271.4
16-12-2020,61,Orne,233
31-12-2020,61,Orne,275.3
01-01-2021,61,Orne,252
15-01-2021,61,Orne,321.8
18-01-2021,61,Orne,319
28-01-2021,61,Orne,323.1
30-01-2021,61,Orne,280.7
22-04-2021,61,Orne,324.7
07-06-2021,61,Orne,453.1
21-06-2021,61,Orne,465.9
19-07-2021,61,Orne,511
20-07-2021,61,Orne,413.3
22-07-2021,61,Orne,429.9
27-07-2021,61,Orne,406.6
