year,region,region_code,heatwave_severity,population_exposed,excess_deaths,excess_deaths_pct,attrib_deaths_summer,attrib_deaths_summer_pct,attrib_deaths_heatwave,attrib_deaths_heatwave_pct,hospital_beds,deaths_per_100k_exposed,beds_per_100k_exposed
2016,Auvergne et Rhône-Alpes,84,1.52656510657153,1737854,,,247.0,1.4,25.0,7.6,48869.0,1.4385558280499973,2812.0313904390127
2017,Auvergne et Rhône-Alpes,84,18.3428435963623,6812920,64.0,2.7,459.0,2.5,181.0,6.9,48224.0,2.656716943689343,707.8315905661595
2018,Auvergne et Rhône-Alpes,84,23.5655251093288,7766907,294.0,15.4,436.0,2.3,212.0,9.8,47791.0,2.729529270789518,615.3157234919898
2019,Auvergne et Rhône-Alpes,84,41.5061284958627,8042936,239.0,7.8,610.0,3.3,358.0,11.0,47576.0,4.45111088786483,591.5252838018355
2020,Auvergne et Rhône-Alpes,84,23.7032839760891,7276417,225.0,9.7,512.0,2.7,188.0,7.5,46860.0,2.5836891975817218,643.9982755248909
2021,Auvergne et Rhône-Alpes,84,2.44861836933309,3698098,85.0,19.2,186.0,1.0,15.0,2.9,46053.0,0.405613912881703,1245.3158353294043
2022,Auvergne et Rhône-Alpes,84,36.8937715430548,8163884,473.0,13.4,822.0,4.1,389.0,9.7,44962.0,4.764888869072613,550.7427592062797
2023,Auvergne et Rhône-Alpes,84,51.2858140050139,8196436,267.0,6.8,796.0,4.1,440.0,10.4,44102.0,5.368186855848078,538.0631289013908
2024,Auvergne et Rhône-Alpes,84,11.7265771007736,8228802,53.0,2.4,527.0,2.7,220.0,9.9,44231.0,2.673536196398941,537.5144522860071
2016,Bourgogne et Franche-Comté,27,0.531384312314563,404606,,,123.0,1.6,4.0,6.2,18455.0,0.9886160857723315,4561.227465732095
2017,Bourgogne et Franche-Comté,27,5.03493102958893,2574764,33.0,4.9,199.0,2.5,55.0,7.6,18170.0,2.1361181063584853,705.6957453187943
2018,Bourgogne et Franche-Comté,27,23.529545406789,2807807,168.0,18.7,263.0,3.3,122.0,12.1,17857.0,4.34502798803479,635.9767605109611
2019,Bourgogne et Franche-Comté,27,32.6516094711254,2805580,83.0,6.9,268.0,3.3,152.0,11.5,17862.0,5.417774577805659,636.6597993997676
2020,Bourgogne et Franche-Comté,27,15.7358611840332,2801695,81.0,8.3,238.0,3.0,100.0,9.0,17457.0,3.5692678896168215,623.0870954904085
