region,region_tmax_p90,region_tmin_p90
Auvergne et Rhône-Alpes,29.64533333333333,15.699
Bourgogne et Franche-Comté,29.03375000000001,15.347500000000002
Bretagne,22.741500000000002,15.182
Centre-Val de Loire,28.548333333333336,15.406666666666666
Corse,30.042000000000005,21.494
Grand Est,28.01840000000001,14.916800000000002
Hauts-de-France,24.849600000000006,15.032000000000002
Normandie,23.732800000000005,15.162
Nouvelle Aquitaine,28.687000000000005,16.69466666666667
Occitanie,29.90133333333333,17.707
Pays de la Loire,26.8392,16.079600000000003
Provence-Alpes-Côte d'Azur,30.56066666666667,18.76333333333333
Île-de-France,27.61625,16.2655
