region,Date,tmax,tmin,tmoy,region_tmax_p90,region_tmin_p90,is_hot_day,is_tropical_night,is_compound_heat_day
Auvergne et Rhône-Alpes,2018-01-01,9.104166666666666,4.0375000000000005,6.57,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-02,11.245833333333332,3.154166666666667,7.2,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-03,14.991666666666667,5.45,10.22,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-04,13.754166666666668,6.0375000000000005,9.895833333333334,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-05,14.108333333333334,8.108333333333333,11.109166666666669,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-06,11.7,5.716666666666666,8.708333333333334,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-07,9.366666666666667,5.545833333333333,7.454999999999999,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-08,8.295833333333333,4.875,6.585,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-09,9.0375,3.3708333333333336,6.205000000000001,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-10,9.316666666666666,3.158333333333333,6.2375,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-11,9.091666666666669,1.7000000000000002,5.395833333333333,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-12,7.6125,2.783333333333333,5.198333333333333,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-13,9.154166666666669,-0.5708333333333333,4.2925,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-14,8.35,0.7833333333333332,4.565833333333333,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-15,9.741666666666667,-0.1958333333333333,4.773333333333333,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-16,11.5625,5.925,8.744166666666667,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-17,7.2875,3.204166666666667,5.245833333333334,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-18,9.345833333333331,1.7625,5.554166666666667,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-19,9.345833333333331,3.5416666666666665,6.4433333333333325,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-20,10.633333333333333,1.5875,6.110833333333333,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-21,10.320833333333333,5.066666666666666,7.694166666666667,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-22,12.4625,6.933333333333334,9.698333333333332,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-23,12.025,5.229166666666667,8.626666666666667,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-24,13.891666666666666,2.833333333333333,8.362499999999999,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-25,12.075,6.3625,9.219166666666666,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-26,6.375,2.654166666666667,4.514166666666667,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-27,7.754166666666666,2.391666666666667,5.072500000000001,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-28,9.6375,1.5708333333333335,5.604166666666667,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-29,8.8125,3.216666666666667,6.015,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-30,8.879166666666666,4.520833333333333,6.7,29.64533333333333,15.699,False,False,False
Auvergne et Rhône-Alpes,2018-01-31,11.220833333333331,2.8000000000000003,7.010000000000001,29.64533333333333,15.699,False,False,False
