date,region,daily_ed_visits,departments_reporting
01-01-2017,Auvergne et Rhône-Alpes,6892,12
02-01-2017,Auvergne et Rhône-Alpes,7425,12
03-01-2017,Auvergne et Rhône-Alpes,7023,12
04-01-2017,Auvergne et Rhône-Alpes,6886,12
05-01-2017,Auvergne et Rhône-Alpes,6886,12
06-01-2017,Auvergne et Rhône-Alpes,6816,12
07-01-2017,Auvergne et Rhône-Alpes,6795,12
08-01-2017,Auvergne et Rhône-Alpes,6421,12
09-01-2017,Auvergne et Rhône-Alpes,7164,12
10-01-2017,Auvergne et Rhône-Alpes,6672,12
11-01-2017,Auvergne et Rhône-Alpes,6416,12
12-01-2017,Auvergne et Rhône-Alpes,6166,12
13-01-2017,Auvergne et Rhône-Alpes,6171,12
14-01-2017,Auvergne et Rhône-Alpes,5775,12
15-01-2017,Auvergne et Rhône-Alpes,5935,12
16-01-2017,Auvergne et Rhône-Alpes,7057,12
17-01-2017,Auvergne et Rhône-Alpes,6085,12
18-01-2017,Auvergne et Rhône-Alpes,6300,12
19-01-2017,Auvergne et Rhône-Alpes,6571,12
20-01-2017,Auvergne et Rhône-Alpes,6655,12
21-01-2017,Auvergne et Rhône-Alpes,6744,12
22-01-2017,Auvergne et Rhône-Alpes,6636,12
23-01-2017,Auvergne et Rhône-Alpes,7544,12
24-01-2017,Auvergne et Rhône-Alpes,6733,12
25-01-2017,Auvergne et Rhône-Alpes,6577,12
26-01-2017,Auvergne et Rhône-Alpes,6818,12
27-01-2017,Auvergne et Rhône-Alpes,7160,12
28-01-2017,Auvergne et Rhône-Alpes,6974,12
29-01-2017,Auvergne et Rhône-Alpes,6878,12
30-01-2017,Auvergne et Rhône-Alpes,7871,12
31-01-2017,Auvergne et Rhône-Alpes,7061,12
01-02-2017,Auvergne et Rhône-Alpes,7043,12
02-02-2017,Auvergne et Rhône-Alpes,7424,12
03-02-2017,Auvergne et Rhône-Alpes,7154,12
04-02-2017,Auvergne et Rhône-Alpes,7132,12
05-02-2017,Auvergne et Rhône-Alpes,6987,12
06-02-2017,Auvergne et Rhône-Alpes,7820,12
07-02-2017,Auvergne et Rhône-Alpes,7120,12
08-02-2017,Auvergne et Rhône-Alpes,6908,12
09-02-2017,Auvergne et Rhône-Alpes,7120,12
10-02-2017,Auvergne et Rhône-Alpes,7158,12
11-02-2017,Auvergne et Rhône-Alpes,7449,12
12-02-2017,Auvergne et Rhône-Alpes,7199,12
13-02-2017,Auvergne et Rhône-Alpes,8169,12
14-02-2017,Auvergne et Rhône-Alpes,7154,12
15-02-2017,Auvergne et Rhône-Alpes,7085,12
16-02-2017,Auvergne et Rhône-Alpes,7225,12
17-02-2017,Auvergne et Rhône-Alpes,7326,12
18-02-2017,Auvergne et Rhône-Alpes,7384,12
19-02-2017,Auvergne et Rhône-Alpes,7116,12
20-02-2017,Auvergne et Rhône-Alpes,7568,12
21-02-2017,Auvergne et Rhône-Alpes,6929,12
22-02-2017,Auvergne et Rhône-Alpes,6804,12
23-02-2017,Auvergne et Rhône-Alpes,6923,12
24-02-2017,Auvergne et Rhône-Alpes,6864,12
25-02-2017,Auvergne et Rhône-Alpes,6994,12
26-02-2017,Auvergne et Rhône-Alpes,6696,12
27-02-2017,Auvergne et Rhône-Alpes,7424,12
28-02-2017,Auvergne et Rhône-Alpes,6226,12
01-03-2017,Auvergne et Rhône-Alpes,6181,12
02-03-2017,Auvergne et Rhône-Alpes,6414,12
03-03-2017,Auvergne et Rhône-Alpes,6897,12
04-03-2017,Auvergne et Rhône-Alpes,6780,12
05-03-2017,Auvergne et Rhône-Alpes,6651,12
06-03-2017,Auvergne et Rhône-Alpes,7202,12
07-03-2017,Auvergne et Rhône-Alpes,6664,12
08-03-2017,Auvergne et Rhône-Alpes,6559,12
09-03-2017,Auvergne et Rhône-Alpes,7230,12
10-03-2017,Auvergne et Rhône-Alpes,7412,12
11-03-2017,Auvergne et Rhône-Alpes,7406,12
12-03-2017,Auvergne et Rhône-Alpes,7264,12
13-03-2017,Auvergne et Rhône-Alpes,8000,12
14-03-2017,Auvergne et Rhône-Alpes,7089,12
15-03-2017,Auvergne et Rhône-Alpes,7046,12
16-03-2017,Auvergne et Rhône-Alpes,7256,12
17-03-2017,Auvergne et Rhône-Alpes,7164,12
18-03-2017,Auvergne et Rhône-Alpes,7319,12
19-03-2017,Auvergne et Rhône-Alpes,7124,12
20-03-2017,Auvergne et Rhône-Alpes,8076,12
21-03-2017,Auvergne et Rhône-Alpes,7063,12
22-03-2017,Auvergne et Rhône-Alpes,6830,12
23-03-2017,Auvergne et Rhône-Alpes,6908,12
24-03-2017,Auvergne et Rhône-Alpes,6756,12
25-03-2017,Auvergne et Rhône-Alpes,6921,12
26-03-2017,Auvergne et Rhône-Alpes,6954,12
27-03-2017,Auvergne et Rhône-Alpes,8028,12
28-03-2017,Auvergne et Rhône-Alpes,7087,12
29-03-2017,Auvergne et Rhône-Alpes,7013,12
30-03-2017,Auvergne et Rhône-Alpes,7110,12
31-03-2017,Auvergne et Rhône-Alpes,7324,12
01-04-2017,Auvergne et Rhône-Alpes,7044,12
02-04-2017,Auvergne et Rhône-Alpes,6774,12
03-04-2017,Auvergne et Rhône-Alpes,7395,12
04-04-2017,Auvergne et Rhône-Alpes,6808,12
05-04-2017,Auvergne et Rhône-Alpes,6545,12
06-04-2017,Auvergne et Rhône-Alpes,6780,12
07-04-2017,Auvergne et Rhône-Alpes,6783,12
08-04-2017,Auvergne et Rhône-Alpes,7281,12
09-04-2017,Auvergne et Rhône-Alpes,7427,12
10-04-2017,Auvergne et Rhône-Alpes,8218,12
11-04-2017,Auvergne et Rhône-Alpes,7077,12
12-04-2017,Auvergne et Rhône-Alpes,7114,12
13-04-2017,Auvergne et Rhône-Alpes,7343,12
14-04-2017,Auvergne et Rhône-Alpes,7452,12
15-04-2017,Auvergne et Rhône-Alpes,7253,12
16-04-2017,Auvergne et Rhône-Alpes,6799,12
17-04-2017,Auvergne et Rhône-Alpes,6843,12
18-04-2017,Auvergne et Rhône-Alpes,7112,12
19-04-2017,Auvergne et Rhône-Alpes,6302,12
20-04-2017,Auvergne et Rhône-Alpes,6254,12
21-04-2017,Auvergne et Rhône-Alpes,6490,12
22-04-2017,Auvergne et Rhône-Alpes,6644,12
23-04-2017,Auvergne et Rhône-Alpes,6300,12
24-04-2017,Auvergne et Rhône-Alpes,7209,12
25-04-2017,Auvergne et Rhône-Alpes,6051,12
26-04-2017,Auvergne et Rhône-Alpes,5708,12
27-04-2017,Auvergne et Rhône-Alpes,5955,12
28-04-2017,Auvergne et Rhône-Alpes,6104,12
29-04-2017,Auvergne et Rhône-Alpes,6746,12
30-04-2017,Auvergne et Rhône-Alpes,6753,12
01-05-2017,Auvergne et Rhône-Alpes,6472,12
02-05-2017,Auvergne et Rhône-Alpes,7247,12
03-05-2017,Auvergne et Rhône-Alpes,6394,12
04-05-2017,Auvergne et Rhône-Alpes,6474,12
05-05-2017,Auvergne et Rhône-Alpes,6605,12
06-05-2017,Auvergne et Rhône-Alpes,6824,12
07-05-2017,Auvergne et Rhône-Alpes,6550,12
08-05-2017,Auvergne et Rhône-Alpes,6888,12
09-05-2017,Auvergne et Rhône-Alpes,7552,12
10-05-2017,Auvergne et Rhône-Alpes,6354,12
11-05-2017,Auvergne et Rhône-Alpes,6582,12
12-05-2017,Auvergne et Rhône-Alpes,6666,12
13-05-2017,Auvergne et Rhône-Alpes,6853,12
14-05-2017,Auvergne et Rhône-Alpes,6844,12
15-05-2017,Auvergne et Rhône-Alpes,7907,12
16-05-2017,Auvergne et Rhône-Alpes,6878,12
17-05-2017,Auvergne et Rhône-Alpes,6984,12
18-05-2017,Auvergne et Rhône-Alpes,7013,12
19-05-2017,Auvergne et Rhône-Alpes,6795,12
20-05-2017,Auvergne et Rhône-Alpes,6807,12
21-05-2017,Auvergne et Rhône-Alpes,7040,12
22-05-2017,Auvergne et Rhône-Alpes,7908,12
23-05-2017,Auvergne et Rhône-Alpes,7010,12
24-05-2017,Auvergne et Rhône-Alpes,7171,12
25-05-2017,Auvergne et Rhône-Alpes,6784,12
26-05-2017,Auvergne et Rhône-Alpes,7612,12
27-05-2017,Auvergne et Rhône-Alpes,7228,12
28-05-2017,Auvergne et Rhône-Alpes,7205,12
29-05-2017,Auvergne et Rhône-Alpes,8118,12
30-05-2017,Auvergne et Rhône-Alpes,7063,12
